qs_rank;country_territory;region;name;description;country;city;latitude;longitude;website;image_url;institution_profile;teaching_languages
203;Holandia;Europa;Uniwersytet Twente;Uniwersytet Twente to holenderski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Enschede. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Holandia;Enschede;52.2425;6.85458;https://www.utwente.nl;http://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Twente.jpg;ogólny;niderlandzki, angielski
267;Norwegia;Europa;Norweski Uniwersytet Nauki i Technologii;Norweski Uniwersytet Nauki i Technologii to norweska uczelnia techniczna skoncentrowana na inżynierii, naukach ścisłych i technologiach stosowanych. Szczególnie dobrze pasuje do osób zainteresowanych laboratoriami, projektami badawczo-rozwojowymi, informatyką, automatyką, energetyką lub współpracą z przemysłem.;Norwegia;Ålesund Municipality;63.419444444;10.401497;https://ntnu.no;http://commons.wikimedia.org/wiki/Special:FilePath/NTNU%20Trondheim%20Mainbuilding.jpg;techniczny;norweski, angielski
607;Włochy;Europa;Uniwersytet w Sienie;Uniwersytet w Sienie to włoski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Siena. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Włochy;Siena;43.319166666;11.330556;http://www.unisi.it;http://commons.wikimedia.org/wiki/Special:FilePath/Siena%2C%20palazzo%20dell%27universit%C3%A0%2001.JPG;ogólny;włoski, angielski
101;Dania;Europa;Uniwersytet Kopenhaski;Uniwersytet Kopenhaski to duński uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Dania;Copenhagen Municipality;55.679722222;12.568337;https://www.ku.dk/;http://commons.wikimedia.org/wiki/Special:FilePath/University%20Main%20Building.jpg;ogólny;duński, angielski
851-900;Francja;Europa;Uniwersytet Franche-Comté;Uniwersytet Franche-Comté to francuski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Francja;;47.24;6.02;https://umlp.fr/;http://commons.wikimedia.org/wiki/Special:FilePath/UFR%20SLHS%20Universite%20de%20Franche%20Comte.jpg;ogólny;francuski, angielski
280;Belgia;Europa;Uniwersytet w Antwerpii;Uniwersytet w Antwerpii to belgijski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Antwerp. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Belgia;Antwerp;51.222777777;4.405997;https://www.uantwerpen.be/;http://commons.wikimedia.org/wiki/Special:FilePath/Campus%20Middelheim%20Building%20A.jpg;ogólny;niderlandzki, francuski, niemiecki, angielski
801-850;Wielka Brytania;Europa;Uniwersytet w Greenwich;Uniwersytet w Greenwich to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w London. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;London;51.484468;-0.003979;https://www.gre.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/United%20Kingdom%20-%20England%20-%20London%20-%20Greenwich%20-%20Old%20Royal%20Naval%20College.jpg;ogólny;angielski
711-720;Wielka Brytania;Europa;Goldsmiths, University of London;Goldsmiths, University of London to brytyjska uczelnia znana z kierunków kreatywnych, humanistycznych, społecznych i projektowych. Jej programy często łączą praktykę artystyczną z badaniami nad kulturą, mediami, społeczeństwem i nowymi formami komunikacji.;Wielka Brytania;London Borough of Lewisham;51.474269444;-0.035411111;https://gold.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/Goldsmiths%20Main%20Building.jpg;ogólny;angielski
1001-1200;Wielka Brytania;Europa;Uniwersytet w East London;Uniwersytet w East London to brytyjski uniwersytet badawczy o szerokim profilu akademickim. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;London Borough of Newham;51.507969444;0.063869444;https://www.uel.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20East%20London%20-%20geograph.org.uk%20-%2054115.jpg;ogólny;angielski
1001-1200;Hiszpania;Europa;Universitat Jaume I;Universitat Jaume I to hiszpański uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Castellón de la Plana. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Hiszpania;Castellón de la Plana;39.99444444;-0.06888889;https://www.uji.es;http://commons.wikimedia.org/wiki/Special:FilePath/UJI%20%282%29.jpg;ogólny;kataloński, angielski
278;Wielka Brytania;Europa;Uniwersytet w Sussex;Uniwersytet w Sussex to brytyjski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;;50.865277777;-0.085555555;https://www.sussex.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/Universit%C3%A4t%20Sussex.jpg;ogólny;angielski
901-950;Wielka Brytania;Europa;Uniwersytet London South Bank;Uniwersytet London South Bank to brytyjski uniwersytet badawczy o szerokim profilu akademickim. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;London Borough of Southwark;51.4981;-0.10154;https://www.lsbu.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/London%20southbank%20university.jpg;ogólny;angielski
310;Wielka Brytania;Europa;City St George’s, University of London;City St George’s, University of London to brytyjski uniwersytet badawczy o szerokim profilu akademickim. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;;51.5278;-0.1023;https://citystgeorges.ac.uk;;ogólny;angielski
1001-1200;Wielka Brytania;Europa;Uniwersytet London Metropolitan;Uniwersytet London Metropolitan to brytyjski uniwersytet badawczy o szerokim profilu akademickim. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;City of London;51.551574;-0.110687;http://www.londonmet.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/Orion%20Building%20-Post%20Graduate%20Centre%20of%20London%20Metropolitan%20University-9June2009.jpg;ogólny;angielski
6;Wielka Brytania;Europa;Uniwersytet Cambridge;Uniwersytet Cambridge to kolegialny uniwersytet badawczy o wyjątkowo długiej tradycji akademickiej i silnej pozycji w naukach ścisłych, medycynie oraz humanistyce. Uczelnia jest znana z ekosystemu innowacji Cambridge oraz licznych powiązań z laboratoriami, startupami i instytutami badawczymi.;Wielka Brytania;Cambridgeshire;52.205355979;0.113157269;https://www.cam.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/St%20John%27s%20College%20Second%20Court%2C%20Cambridge%2C%20UK%20-%20Diliff.jpg;ogólny;angielski
31;Wielka Brytania;Europa;King’s College London;King’s College London to uniwersytet badawczy o mocnej pozycji w medycynie, naukach o zdrowiu, prawie, humanistyce i naukach społecznych. Dzięki położeniu w centrum Londynu uczelnia ma bliskie powiązania z instytucjami publicznymi, szpitalami i sektorem międzynarodowym.;Wielka Brytania;London Borough of Lambeth;51.511944444;-0.116111111;https://kcl.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/Strand102.jpg;ogólny;angielski
56;Wielka Brytania;Europa;London School of Economics and Political Science;London School of Economics and Political Science to wyspecjalizowana uczelnia skoncentrowana na ekonomii, polityce, prawie, socjologii i stosunkach międzynarodowych. Jej profil jest szczególnie atrakcyjny dla osób zainteresowanych analizą społeczną, finansami, administracją publiczną i global governance.;Wielka Brytania;London;51.513888888;-0.116666666;https://lse.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/LondonSchoolofEconomics%20cford.jpg;biznesowy;angielski
801-850;Wielka Brytania;Europa;Uniwersytet w Brighton;Uniwersytet w Brighton to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Brighton and Hove. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Brighton and Hove;50.845022;-0.117569;http://www.brighton.ac.uk/;;ogólny;angielski
511;Wielka Brytania;Europa;SOAS University of London;SOAS University of London to brytyjski uniwersytet badawczy o szerokim profilu akademickim. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;London Borough of Camden;51.52205;-0.129;https://soas.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/School%20of%20Oriental%20%26%20African%20Studies%2C%20London%2003.JPG;ogólny;angielski
388;Wielka Brytania;Europa;Birkbeck, University of London;Birkbeck, University of London to brytyjski uniwersytet badawczy o szerokim profilu akademickim. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;London Borough of Camden;51.521876306;-0.13032533;https://bbk.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/Birkbeck%20College%2C%20University%20of%20London.jpg;ogólny;angielski
9;Wielka Brytania;Europa;University College London;University College London to duży, interdyscyplinarny uniwersytet badawczy w Londynie. Wyróżnia się szeroką ofertą kierunków, silnymi badaniami medycznymi i społecznymi oraz miejskim, międzynarodowym charakterem kampusu.;Wielka Brytania;Bloomsbury;51.524722222;-0.133611111;https://www.ucl.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/Wilkins%20Building%201%2C%20UCL%2C%20London%20-%20Diliff.jpg;ogólny;angielski
801-850;Wielka Brytania;Europa;Uniwersytet w Westminster;Uniwersytet w Westminster to brytyjski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;City of Westminster;51.516944444;-0.143055555;http://www.westminster.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Westminster%2C%20Harrow%20Campus%20-%20geograph.org.uk%20-%2098048.jpg;ogólny;angielski
2;Wielka Brytania;Europa;Imperial College London;Imperial College London to jedna z czołowych uczelni STEMB, skupiona na nauce, technologii, inżynierii, medycynie i biznesie. Jej londyńskie kampusy są silnie związane z badaniami nad zdrowiem, klimatem, energią i innowacjami.;Wielka Brytania;Royal Borough of Kensington and Chelsea;51.498308;-0.176882;https://www.imperial.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/Imperial%20College%20London%20down%20Exhibition%20Road.jpg;ogólny;angielski
801-850;Wielka Brytania;Europa;Uniwersytet Middlesex;Uniwersytet Middlesex to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Hendon. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Hendon;51.5893495;-0.2282466;https://www.mdx.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/Middlesex%20University%20Hendon%20Campus.jpg;ogólny;angielski
901-950;Wielka Brytania;Europa;Uniwersytet w Hertfordshire;Uniwersytet w Hertfordshire to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Hatfield. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Hatfield;51.753333333;-0.243888888;https://www.herts.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/UHCollegeLaneCampus.jpg;ogólny;angielski
660;Wielka Brytania;Europa;Kingston University London;Kingston University London to brytyjski uniwersytet badawczy o szerokim profilu akademickim. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;Royal Borough of Kingston upon Thames;51.4035;-0.3039;https://www.kingston.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/Knights%20Park%20Campus.jpg;ogólny;angielski
422;Hiszpania;Europa;Politechnika w Walencji;Politechnika w Walencji to hiszpański uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Hiszpania;;39.480889579;-0.34110993;https://www.upv.es/;http://commons.wikimedia.org/wiki/Special:FilePath/Agora%20UPV%2002.JPG;ogólny;hiszpański, angielski
1201-1400;Francja;Europa;Uniwersytet w Poitiers;Uniwersytet w Poitiers to francuski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Poitiers. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Francja;Poitiers;46.586111111;0.343888888;https://www.univ-poitiers.fr/;http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%B4tel-Pinet-Poitiers.jpg;ogólny;francuski, angielski
430;Hiszpania;Europa;Uniwersytet w Walencji;Uniwersytet w Walencji to hiszpański uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Valencia. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Hiszpania;Valencia;39.4790511;-0.3590873;https://www.uv.es/;http://commons.wikimedia.org/wiki/Special:FilePath/Universitat%20val%C3%A8ncia%20rectorat.jpg;ogólny;hiszpański, angielski
1201-1400;Francja;Europa;Uniwersytet w Caen Normandie;Uniwersytet w Caen Normandie to francuski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Francja;;49.192819812;-0.363835188;https://www.unicaen.fr/;http://commons.wikimedia.org/wiki/Special:FilePath/Caen%20universite%20campus1%20bibliotheque%203%202013-05-31.JPG;ogólny;francuski, angielski
526;Wielka Brytania;Europa;Uniwersytet w Hull;Uniwersytet w Hull to brytyjski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;City of Kingston upon Hull;53.77167;-0.36944;https://www.hull.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/Venn%20Building%2C%20University%20of%20Hull.jpg;ogólny;angielski
385;Wielka Brytania;Europa;Brunel University of London;Brunel University of London to brytyjski uniwersytet badawczy o szerokim profilu akademickim. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;London Borough of Hillingdon;51.532777777;-0.472777777;https://www.brunel.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/The%20Wilfred%20Brown%20Building%20at%20Brunel%20University%20-%20geograph.org.uk%20-%201518813.jpg;ogólny;angielski
781-790;Hiszpania;Europa;Uniwersytet w Alicante;Uniwersytet w Alicante to hiszpański uniwersytet o szerokim profilu kształcenia i badań z siedzibą w San Vicente del Raspeig. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Hiszpania;San Vicente del Raspeig;38.384638888;-0.513147222;https://www.ua.es;http://commons.wikimedia.org/wiki/Special:FilePath/Campus%20universit%C3%A0%20di%20Alicante.jpg;ogólny;hiszpański, angielski
801-850;Wielka Brytania;Europa;Uniwersytet w Lincoln;Uniwersytet w Lincoln to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Lincoln. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Lincoln;53.2279107;-0.5501933;http://www.lincoln.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Lincoln.png;ogólny;angielski
461;Wielka Brytania;Europa;Royal Holloway, University of London;Royal Holloway, University of London to brytyjski uniwersytet badawczy o szerokim profilu akademickim z siedzibą w Surrey. Dzięki położeniu w dużym ośrodku miejskim uczelnia oferuje dobre warunki do współpracy z instytucjami publicznymi, firmami, organizacjami kultury i partnerami międzynarodowymi.;Wielka Brytania;Surrey;51.4248;-0.566731;https://royalholloway.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/Founder%27s%20Building%2C%20Royal%20Holloway%2C%20south%20quad.jpg;ogólny;angielski
262;Wielka Brytania;Europa;Uniwersytet w Surrey;Uniwersytet w Surrey to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Guildford. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Guildford;51.243055555;-0.589444444;https://www.surrey.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/UniSSoM.jpg;ogólny;angielski
494;Francja;Europa;Uniwersytet w Bordeaux;Uniwersytet w Bordeaux to francuski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Francja;;44.80999605;-0.596755446;https://www.u-bordeaux.fr/;http://commons.wikimedia.org/wiki/Special:FilePath/Facult%C3%A9%20de%20Droit%20et%20Science%20Politique%20de%20Bordeaux.jpg;ogólny;francuski, angielski
1001-1200;Hiszpania;Europa;Uniwersytet w Lleida;Uniwersytet w Lleida to hiszpański uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Lleida. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Hiszpania;Lleida;41.6147654;0.6196167;http://www.udl.cat/ca/;http://commons.wikimedia.org/wiki/Special:FilePath/Lleida-Udl5.jpg;ogólny;kataloński, angielski
1201-1400;Wielka Brytania;Europa;Uniwersytet w Northampton;Uniwersytet w Northampton to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Northamptonshire. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Northamptonshire;52.2506414;-0.8903969;http://www.northampton.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/UoN%20Newton.jpg;ogólny;angielski
638;Hiszpania;Europa;Uniwersytet w Saragossie;Uniwersytet w Saragossie to hiszpański uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Zaragoza. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Hiszpania;Zaragoza;41.6425;-0.9;http://www.unizar.es/information-institution/university-information;http://commons.wikimedia.org/wiki/Special:FilePath/Edificio%20de%20las%20Antiguas%20Facultades%20de%20Medicina%20y%20Ciencias%20de%20la%20Universidad%20de%20Zaragoza%20-%20PC251497.jpg;ogólny;hiszpański, angielski
194;Wielka Brytania;Europa;Uniwersytet w Reading;Uniwersytet w Reading to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Reading. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Reading;51.441944444;-0.945555555;http://www.reading.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/The%20University%20of%20Reading.jpg;ogólny;angielski
456;Wielka Brytania;Europa;Uniwersytet w Essex;Uniwersytet w Essex to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Essex. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Essex;51.87845;0.94942;http://www.essex.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Essex%20-%20Albert%20Sloman%20Library.png;ogólny;angielski
169;Wielka Brytania;Europa;Uniwersytet w York;Uniwersytet w York to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w York. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;York;53.94659;-1.0525;https://york.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/York%20central%20hall.jpg;ogólny;angielski
397;Wielka Brytania;Europa;Uniwersytet w Kent;Uniwersytet w Kent to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Kent. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Kent;51.297;1.069;https://www.kent.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/School%20of%20Arts%20-%20UKC.JPG;ogólny;angielski
1201-1400;Wielka Brytania;Europa;Uniwersytet Canterbury Christ Church;Uniwersytet Canterbury Christ Church to brytyjski uniwersytet o szerokim profilu kształcenia i badań z siedzibą w Canterbury. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;Canterbury;51.279722222;1.089166666;http://www.canterbury.ac.uk/;http://commons.wikimedia.org/wiki/Special:FilePath/Canterbury%20Christ%20Church%20University%20-%20geograph.org.uk%20-%20984484.jpg;ogólny;angielski
635;Wielka Brytania;Europa;Uniwersytet w Portsmouth;Uniwersytet w Portsmouth to brytyjski uniwersytet o szerokim profilu kształcenia i badań. Uczelnia łączy programy humanistyczne, społeczne, przyrodnicze lub techniczne z projektami naukowymi oraz współpracą międzynarodową.;Wielka Brytania;City of Portsmouth;50.7953;-1.0936;http://www.port.ac.uk;http://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Portsmouth%20Dennis%20Sciama%20building.JPG;ogólny;angielski
